review_url,author
/reviews/albums/4002-1-2-3/,William Bowers
/reviews/albums/14597-surfing-the-void/,Ian Cohen
/reviews/albums/9570-micah-p-hinson-and-the-opera-circuit/,Jason Crock
/reviews/albums/18941-marissa-nadler-july/,Jenn Pelly
/reviews/albums/rosie-lowe-yu/,Eric Torres
/reviews/albums/2362-river-walk-riots/,Keith Brasel
/reviews/albums/13993-the-big-to-do/,Joshua Love
/reviews/albums/maya-hawke-blush/,Peyton Thomas
/reviews/albums/14379-go-common-classics/,Ryan Dombal
/reviews/albums/kipp-stone-faygo-baby-ep/,Pete Tosiello
/reviews/albums/20337-trap-genius/,Winston Cook-Wilson
/reviews/albums/14950-red-barked-tree/,Stuart Berman
/reviews/albums/182-worlds-apart/,Nick Sylvester
/reviews/albums/22054-different-class/,Simon Reynolds
/reviews/albums/2917-the-evens/,Matthew Murphy
/reviews/albums/14884-its-what-im-thinking-part-one-photographing-snowflakes/,Stuart Berman
/reviews/albums/21108-garden-of-delete/,Philip Sherburne
/reviews/albums/10915-collected-works/,Tim Finney
/reviews/albums/james-mcmurtry-the-horses-and-the-hounds/,Stephen M. Deusner
/reviews/albums/13054-ice-capped-at-both-ends/,Jess Harvell
/reviews/albums/2189-curling-pond-woods/,Andy Beta
/reviews/albums/19030-hands-the-soul-is-quick/,Nick Neyland
/reviews/albums/17788-the-strokes-comedown-machine/,Ian Cohen
/reviews/albums/9715-sing-the-greys/,Brian Howe
/reviews/albums/19683-foxes-in-fiction-ontario-gothic/,Ian Cohen
/reviews/albums/12814-heavy-ghost/,Joshua Klein
/reviews/albums/13558-broken/,Stephen M. Deusner
/reviews/albums/13051-wild-and-inside/,Joe Colly
/reviews/albums/19450-sam-smith-in-the-lonely-hour/,Andrew Ryce
/reviews/albums/16502-europe/,Marc Hogan
/reviews/albums/10512-space-ritual-collectors-edition/,Nate Patrin
/reviews/albums/21888-spiritual-songs-for-lovers-to-sing/,Jazz Monroe
/reviews/albums/17472-silent-congas/,Mike Powell
/reviews/albums/6968-cmon-lets-pretend/,Julianne Escobedo Shepherd
/reviews/albums/10398-sirens-of-the-ditch/,Stephen M. Deusner
/reviews/albums/9130-fast-man-raider-man/,Joe Tangari
/reviews/albums/151-triste/,Mark Richardson
/reviews/albums/22747-helices-ep/,Alexander Iadarola
/reviews/albums/6614-the-sword-of-god/,Matt LeMay
/reviews/albums/209-tragic-epilogue/,James P. Wisdom
/reviews/albums/7376-behind-the-music/,Kyle Reiter
/reviews/albums/11758-concentration-facehomeboy/,Matthew Murphy
/reviews/albums/9140-blood-sweat-towers/,Adam Moerder
/reviews/albums/17781-low-the-invisible-way/,Stephen M. Deusner
/reviews/albums/21344-black-market/,Julian Kimble
/reviews/albums/18318-honey-ltd-the-complete-lhi-recordings/,Stephen M. Deusner
/reviews/albums/sneaks-highway-hypnosis/,Sophie Kemp
/reviews/albums/16820-the-thought-adjusters/,Marc Masters
/reviews/albums/2569-this-is-riphop/,Jonathan Zwickel
/reviews/albums/19999-royksopp-the-inevitable-end/,Marc Hogan
/reviews/albums/22088-black-bubblegum/,Raymond Cummings
/reviews/albums/12215-fingerpointing/,Andrew Gaerig
/reviews/albums/20401-cool-it/,Joel Oliphint
/reviews/albums/11492-supreme-balloon/,Mark Pytlik
/reviews/albums/10315-si-para-usted-the-funky-beats-of-revolutionary-cuba-volume-one/,Joe Tangari
/reviews/albums/ducks-unlimited-get-bleak-ep/,Peyton Thomas
/reviews/albums/22174-songs-in-the-key-of-life/,Alan Light
/reviews/albums/23042-the-awakening/,Michael J. Agovino
/reviews/albums/5920-city-lights-volume-15/,Sam Ubl
/reviews/albums/ipek-gorgun-ecce-homo/,Marc Masters
/reviews/albums/12824-fabric-45/,Mike Powell
/reviews/albums/9629-robot/,Mark Richardson
/reviews/albums/roky-erickson-never-say-goodbye/,Rebecca Bengal
/reviews/albums/10399-at-my-age/,Joshua Klein
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/,Douglas Wolk
/reviews/albums/nine-inch-nails-ghosts-v-together-ghosts-vi-locusts/,Sean T. Collins
/reviews/albums/13099-clean-hands-go-foul/,Grayson Currin
/reviews/albums/sd-brian-fresco-muddbruddas/,Nadine Smith
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/,Sean T. Collins
/reviews/albums/22717-forever/,Zoe Camp
/reviews/albums/22923-in-between/,Marc Masters
/reviews/albums/13576-wolfgang-amadeus-phoenix-remix-collection/,Marc Hogan
/reviews/albums/belle-and-sebastian-days-of-the-bagnold-summer-original-motion-picture-soundtrack/,Zoe Dubno
/reviews/albums/139-pelo/,John Dark
/reviews/albums/14295-deathbed-4-ep/,David Bevan
/reviews/albums/cookiee-kawaii-vanice/,Eric Torres
/reviews/albums/2403-will-you-still-love-me-ep/,Zach Hooker
/reviews/albums/nothing-the-great-dismal/,Arielle Gordon
/reviews/albums/grateful-dead-workingmans-dead-the-angels-share/,Stephen Thomas Erlewine
/reviews/albums/mudhoney-digital-garbage/,Stuart Berman
/reviews/albums/13034-relapse/,Ian Cohen
/reviews/albums/9669-love/,Mark Richardson
/reviews/albums/19293-prins-thomas-prins-thomas-iii/,Miles Raymer
/reviews/albums/7986-the-no-music/,Sam Chennault
/reviews/albums/13885-the-courage-of-others/,Paul Thompson
/reviews/albums/4610-music-to-fall-asleep/,Mark Richardson
/reviews/albums/15110-buy-the-ticket-take-the-ride/,Ian Cohen
/reviews/albums/4678-here-comes-that-weird-chill/,William Morris
/reviews/albums/chynna-in-case-i-die-first/,Veracia Ankrah
/reviews/albums/mach-hommy-bulletproof-luh/,Sheldon Pearce
/reviews/albums/tegan-and-sara-the-con-x-covers/,Laura Snapes
/reviews/albums/8359-edit-music-for-a-film-original-motion-picture-soundtrack-reconstruction/,Ryan Dombal
/reviews/albums/2657-all-harm-ends-here/,Sam Ubl
/reviews/albums/8758-secondary-protocol/,Brad Hurst
/reviews/albums/522-the-empire-strikes-first/,J.H. Tompkins
/reviews/albums/467-i-am-a-bird-now/,Brandon Stosuy
/reviews/albums/20061-furtherdeeper/,T. Cole Rachel
/reviews/albums/7538-room-on-fire/,Rob Mitchum
/reviews/albums/15659-love-has-made-me-stronger/,Stephen M. Deusner
/reviews/albums/8681-the-wilco-book/,Joe Tangari
/reviews/albums/16112-lioness-hidden-treasures/,Andrew Ryce
/reviews/albums/12128-woodpecker-ost/,Brian Howe
/reviews/albums/11555-laulu-laakson-kukista/,Andrew Gaerig
/reviews/albums/20033-she-him-classics/,Hazel Cills
/reviews/albums/9053-to-find-me-gone/,Matthew Murphy
/reviews/albums/1240-deceleration-one/,Joe Tangari
/reviews/albums/10953-the-joshua-tree-deluxe-edition/,Joshua Klein
/reviews/albums/susanna-go-dig-my-grave/,Ben Cardew
/reviews/albums/12809-aspera/,Mia Clarke
/reviews/albums/17715-cabinet-of-curiosities/,Evan Minsker
/reviews/albums/14865-worth-the-weight-bristol-dubstep-classics/,Andy Battaglia
/reviews/albums/9032-sexteen/,Judson Picco
/reviews/albums/surf-curse-heaven-surrounds-you/,Abby Jones
/reviews/albums/11538-diamond-hoo-ha/,Eric Harvey
/reviews/albums/19930-dj-quik-the-midnight-life/,Jayson Greene
/reviews/albums/fennesz-agora/,Mark Richardson
/reviews/albums/5886-three-piece-suite/,Andy Beta
/reviews/albums/12816-beasts-of-seasons/,Matthew Solarski
/reviews/albums/sun-kil-moon-i-also-want-to-die-in-new-orleans/,Evan Rytlewski
/reviews/albums/23209-in-on-the-kill-taker/,Jason Diamond
