review_url,genre
/reviews/albums/9570-micah-p-hinson-and-the-opera-circuit/,Rock
/reviews/albums/18941-marissa-nadler-july/,Folk/Country
/reviews/albums/rosie-lowe-yu/,Pop/R&B
/reviews/albums/13993-the-big-to-do/,Rock
/reviews/albums/maya-hawke-blush/,Folk/Country
/reviews/albums/14379-go-common-classics/,Rap
/reviews/albums/kipp-stone-faygo-baby-ep/,Rap
/reviews/albums/20337-trap-genius/,Rap
/reviews/albums/14950-red-barked-tree/,Rock
/reviews/albums/182-worlds-apart/,Rock
/reviews/albums/22054-different-class/,Rock
/reviews/albums/2917-the-evens/,Metal
/reviews/albums/2917-the-evens/,Rock
/reviews/albums/14884-its-what-im-thinking-part-one-photographing-snowflakes/,Rock
/reviews/albums/21108-garden-of-delete/,Experimental
/reviews/albums/10915-collected-works/,Pop/R&B
/reviews/albums/james-mcmurtry-the-horses-and-the-hounds/,Folk/Country
/reviews/albums/2189-curling-pond-woods/,Electronic
/reviews/albums/17788-the-strokes-comedown-machine/,Rock
/reviews/albums/9715-sing-the-greys/,Rock
/reviews/albums/19683-foxes-in-fiction-ontario-gothic/,Pop/R&B
/reviews/albums/12814-heavy-ghost/,Rock
/reviews/albums/13558-broken/,Electronic
/reviews/albums/13051-wild-and-inside/,Experimental
/reviews/albums/13051-wild-and-inside/,Rock
/reviews/albums/19450-sam-smith-in-the-lonely-hour/,Pop/R&B
/reviews/albums/16502-europe/,Rock
/reviews/albums/10512-space-ritual-collectors-edition/,Experimental
/reviews/albums/10512-space-ritual-collectors-edition/,Rock
/reviews/albums/21888-spiritual-songs-for-lovers-to-sing/,Rock
/reviews/albums/17472-silent-congas/,Electronic
/reviews/albums/6968-cmon-lets-pretend/,Electronic
/reviews/albums/6968-cmon-lets-pretend/,Rock
/reviews/albums/10398-sirens-of-the-ditch/,Rock
/reviews/albums/9130-fast-man-raider-man/,Rock
/reviews/albums/151-triste/,Experimental
/reviews/albums/22747-helices-ep/,Electronic
/reviews/albums/6614-the-sword-of-god/,Experimental
/reviews/albums/6614-the-sword-of-god/,Rock
/reviews/albums/209-tragic-epilogue/,Electronic
/reviews/albums/209-tragic-epilogue/,Rap
/reviews/albums/7376-behind-the-music/,Rock
/reviews/albums/11758-concentration-facehomeboy/,Experimental
/reviews/albums/11758-concentration-facehomeboy/,Rock
/reviews/albums/9140-blood-sweat-towers/,Rock
/reviews/albums/17781-low-the-invisible-way/,Rock
/reviews/albums/21344-black-market/,Rap
/reviews/albums/sneaks-highway-hypnosis/,Rock
/reviews/albums/19999-royksopp-the-inevitable-end/,Electronic
/reviews/albums/19999-royksopp-the-inevitable-end/,Pop/R&B
/reviews/albums/22088-black-bubblegum/,Experimental
/reviews/albums/12215-fingerpointing/,Rock
/reviews/albums/20401-cool-it/,Rock
/reviews/albums/11492-supreme-balloon/,Experimental
/reviews/albums/ducks-unlimited-get-bleak-ep/,Rock
/reviews/albums/22174-songs-in-the-key-of-life/,Pop/R&B
/reviews/albums/23042-the-awakening/,Jazz
/reviews/albums/5920-city-lights-volume-15/,Pop/R&B
/reviews/albums/ipek-gorgun-ecce-homo/,Electronic
/reviews/albums/12824-fabric-45/,Electronic
/reviews/albums/9629-robot/,Electronic
/reviews/albums/roky-erickson-never-say-goodbye/,Electronic
/reviews/albums/roky-erickson-never-say-goodbye/,Rock
/reviews/albums/10399-at-my-age/,Rock
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/,Pop/R&B
/reviews/albums/nine-inch-nails-ghosts-v-together-ghosts-vi-locusts/,Rock
/reviews/albums/sd-brian-fresco-muddbruddas/,Rap
/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/,Rock
/reviews/albums/22717-forever/,Metal
/reviews/albums/22923-in-between/,Rock
/reviews/albums/13576-wolfgang-amadeus-phoenix-remix-collection/,Rock
/reviews/albums/belle-and-sebastian-days-of-the-bagnold-summer-original-motion-picture-soundtrack/,Rock
/reviews/albums/14295-deathbed-4-ep/,Rock
/reviews/albums/cookiee-kawaii-vanice/,Electronic
/reviews/albums/2403-will-you-still-love-me-ep/,Rock
/reviews/albums/nothing-the-great-dismal/,Rock
/reviews/albums/grateful-dead-workingmans-dead-the-angels-share/,Rock
/reviews/albums/mudhoney-digital-garbage/,Rock
/reviews/albums/13034-relapse/,Rap
/reviews/albums/9669-love/,Rock
/reviews/albums/19293-prins-thomas-prins-thomas-iii/,Electronic
/reviews/albums/7986-the-no-music/,Rap
/reviews/albums/13885-the-courage-of-others/,Experimental
/reviews/albums/13885-the-courage-of-others/,Rock
/reviews/albums/4610-music-to-fall-asleep/,Electronic
/reviews/albums/15110-buy-the-ticket-take-the-ride/,Rock
/reviews/albums/4678-here-comes-that-weird-chill/,Rock
/reviews/albums/chynna-in-case-i-die-first/,Rap
/reviews/albums/mach-hommy-bulletproof-luh/,Rap
/reviews/albums/tegan-and-sara-the-con-x-covers/,Rock
/reviews/albums/2657-all-harm-ends-here/,Rock
/reviews/albums/8758-secondary-protocol/,Electronic
/reviews/albums/8758-secondary-protocol/,Rap
/reviews/albums/522-the-empire-strikes-first/,Metal
/reviews/albums/522-the-empire-strikes-first/,Rock
/reviews/albums/467-i-am-a-bird-now/,Rock
/reviews/albums/20061-furtherdeeper/,Rock
/reviews/albums/7538-room-on-fire/,Rock
/reviews/albums/8681-the-wilco-book/,Rock
/reviews/albums/16112-lioness-hidden-treasures/,Pop/R&B
/reviews/albums/12128-woodpecker-ost/,Rock
/reviews/albums/11555-laulu-laakson-kukista/,Electronic
/reviews/albums/11555-laulu-laakson-kukista/,Folk/Country
/reviews/albums/20033-she-him-classics/,Rock
/reviews/albums/9053-to-find-me-gone/,Rock
/reviews/albums/1240-deceleration-one/,Rock
/reviews/albums/10953-the-joshua-tree-deluxe-edition/,Rock
/reviews/albums/susanna-go-dig-my-grave/,Electronic
/reviews/albums/12809-aspera/,Rock
/reviews/albums/9032-sexteen/,Rock
/reviews/albums/surf-curse-heaven-surrounds-you/,Rock
/reviews/albums/11538-diamond-hoo-ha/,Electronic
/reviews/albums/11538-diamond-hoo-ha/,Rock
/reviews/albums/19930-dj-quik-the-midnight-life/,Rap
/reviews/albums/fennesz-agora/,Experimental
/reviews/albums/5886-three-piece-suite/,Rock
/reviews/albums/12816-beasts-of-seasons/,Folk/Country
/reviews/albums/sun-kil-moon-i-also-want-to-die-in-new-orleans/,Folk/Country
/reviews/albums/23209-in-on-the-kill-taker/,Rock
/reviews/albums/11605-take-refuge-in-clean-living/,Metal
/reviews/albums/11605-take-refuge-in-clean-living/,Rock
/reviews/albums/3447-make-it-pop/,Experimental
/reviews/albums/3447-make-it-pop/,Metal
/reviews/albums/3447-make-it-pop/,Rock
/reviews/albums/10461-wires-reply/,Rock
/reviews/albums/9788-still-point-of-turning/,Rock
/reviews/albums/royce-59-the-allegory/,Rap
/reviews/albums/3718-put-your-gloves-on-and-wave/,Rock
/reviews/albums/18616-black-devil-disco-club-black-moon-white-sun/,Pop/R&B
/reviews/albums/y-la-bamba-mujeres/,Folk/Country
/reviews/albums/5679-the-tourniquet/,Rock
/reviews/albums/gaye-su-akyol-istikrarli-hayal-hakikattir/,Global
/reviews/albums/18512-frankie-rose-herein-wild/,Rock
/reviews/albums/21043-fetty-wap/,Rap
/reviews/albums/2641-wind-up-canary/,Pop/R&B
/reviews/albums/17756-fol-chen-the-false-alarms/,Pop/R&B
/reviews/albums/13643-unexpected-guests/,Rap
/reviews/albums/1156-brazilian-girls/,Rock
/reviews/albums/21591-epic-jammers-and-fortunate-little-ditties/,Folk/Country
/reviews/albums/21591-epic-jammers-and-fortunate-little-ditties/,Experimental
/reviews/albums/12258-prehistoricisms/,Jazz
/reviews/albums/12258-prehistoricisms/,Metal
/reviews/albums/9250-surrounded/,Electronic
/reviews/albums/9250-surrounded/,Pop/R&B
/reviews/albums/14977-by-the-hedge/,Experimental
/reviews/albums/14977-by-the-hedge/,Rock
/reviews/albums/12693-u/,Rock
/reviews/albums/12693-u/,Electronic
/reviews/albums/12693-u/,Experimental
/reviews/albums/maximum-joy-i-cant-stand-it-here-on-quiet-nights-singles-1981-82/,Rock
/reviews/albums/15349-swanlights-ep/,Rock
/reviews/albums/3203-in-the-wire-ep/,Rock
/reviews/albums/horse-jumper-of-love-so-divine/,Rock
/reviews/albums/17512-oak-island/,Rock
/reviews/albums/6449-one-word-extinguisher/,Electronic
/reviews/albums/tom-misch-yussef-dayes-what-kinda-music/,Jazz
/reviews/albums/12053-daniel-variations/,Experimental
/reviews/albums/11341-vainajan-muotokuva/,Rock
/reviews/albums/django-django-glowing-in-the-dark/,Pop/R&B
/reviews/albums/1520-come-here-when-you-sleepwalk/,Electronic
/reviews/albums/1520-come-here-when-you-sleepwalk/,Folk/Country
/reviews/albums/1713-39-minutes-of-bliss-in-an-otherwise-meaningless-world/,Electronic
/reviews/albums/1713-39-minutes-of-bliss-in-an-otherwise-meaningless-world/,Rock
/reviews/albums/16956-melodica/,Rap
/reviews/albums/14730-holkham-drones/,Electronic
/reviews/albums/9905-dressed-up-for-the-letdown/,Rock
/reviews/albums/12842-the-hazards-of-love/,Rock
/reviews/albums/beach-house-b-sides-and-rarities/,Rock
/reviews/albums/19206-sage-the-gemini-remember-me/,Rap
/reviews/albums/14400-bonjour/,Global
/reviews/albums/13450-eskimo-snow/,Rap
/reviews/albums/13450-eskimo-snow/,Rock
/reviews/albums/15000-the-king-is-dead/,Rock
/reviews/albums/3909-quit-or-fight/,Rock
/reviews/albums/gucci-mane-so-icy-summer/,Rap
/reviews/albums/20794-white-reaper-does-it-again/,Rock
/reviews/albums/12371-uproot/,Electronic
/reviews/albums/12323-receivers/,Experimental
/reviews/albums/12323-receivers/,Rock
/reviews/albums/alexis-taylor-beautiful-thing/,Electronic
/reviews/albums/18222-amon-amarth-deceiver-of-the-gods/,Folk/Country
/reviews/albums/18222-amon-amarth-deceiver-of-the-gods/,Metal
/reviews/albums/10252-plague-park/,Electronic
/reviews/albums/10252-plague-park/,Rock
/reviews/albums/beck-hyperspace/,Rock
/reviews/albums/9810-friend-opportunity/,Experimental
/reviews/albums/the-voidz-virtue/,Rock
/reviews/albums/23031-concrete-desert/,Experimental
/reviews/albums/19112-shit-robot-we-got-a-love/,Electronic
/reviews/albums/21129-blurse/,Electronic
/reviews/albums/17857-st-2-lettaz-the-g-the-growth-development/,Rap
/reviews/albums/19386-sturgill-simpson-metamodern-sounds-in-country-music/,Folk/Country
/reviews/albums/tim-heidecker-too-dumb-for-suicide-tim-heideckers-trump-songs/,Folk/Country
/reviews/albums/8412-absolutely-nothing/,Rock
/reviews/albums/1185-pink/,Metal
/reviews/albums/1185-pink/,Rock
/reviews/albums/czarface-mf-doom-czarface-meets-metal-face/,Rap
/reviews/albums/7826-young-dangerous-heart/,Rap
/reviews/albums/16057-together/,Experimental
/reviews/albums/16057-together/,Rock
/reviews/albums/7988-so-much-for-the-ten-year-plan-a-retrospective-1990-2000/,Electronic
/reviews/albums/7988-so-much-for-the-ten-year-plan-a-retrospective-1990-2000/,Metal
/reviews/albums/7988-so-much-for-the-ten-year-plan-a-retrospective-1990-2000/,Rap
/reviews/albums/7988-so-much-for-the-ten-year-plan-a-retrospective-1990-2000/,Rock
/reviews/albums/7730-leave-your-name/,Rock
/reviews/albums/jonny-greenwood-you-were-never-really-here-original-motion-picture-soundtrack/,Experimental
/reviews/albums/9768-friend-and-foe/,Experimental
/reviews/albums/9768-friend-and-foe/,Rock
/reviews/albums/2820-at-crystal-palace/,Rock
/reviews/albums/11789-g2-44-x2/,Rock
/reviews/albums/screaming-females-singles-too/,Rock
/reviews/albums/aleksi-perala-sunshine-3/,Electronic
/reviews/albums/15833-souta-mulle/,Rock
/reviews/albums/17643-johnny-marr-the-messenger/,Rock
/reviews/albums/16603-off/,Metal
/reviews/albums/16603-off/,Rock
/reviews/albums/david-lynch-angelo-badalamenti-thought-gang/,Experimental
/reviews/albums/david-lynch-angelo-badalamenti-thought-gang/,Rock
/reviews/albums/muzz-muzz/,Rock
/reviews/albums/11420-arms-way/,Rock
/reviews/albums/12180-death-magnetic/,Metal
/reviews/albums/22296-vince-staples-prima-donna/,Rap
/reviews/albums/12807-static-tensions/,Metal
/reviews/albums/18207--ziq-chewed-corners/,Electronic
/reviews/albums/14288-disintegration-deluxe-edition/,Rock
/reviews/albums/rp-boo-established/,Electronic
/reviews/albums/12857-gracewastelands/,Electronic
/reviews/albums/12857-gracewastelands/,Rock
/reviews/albums/10827-hourglass/,Rock
/reviews/albums/pale-waves-who-am-i/,Rock
/reviews/albums/11262-alles-wieder-offen/,Electronic
/reviews/albums/11262-alles-wieder-offen/,Experimental
/reviews/albums/11262-alles-wieder-offen/,Rock
/reviews/albums/more-eaze-seth-graham-the-heart-pumps-kool-aid/,Experimental
/reviews/albums/15487-outbreeding/,Folk/Country
/reviews/albums/20231-carter-tutti-plays-chris-cosey/,Experimental
/reviews/albums/13961-introducing/,Experimental
/reviews/albums/13961-introducing/,Rock
/reviews/albums/margaux-more-brilliant-is-the-hand-that-throws-the-coin/,Folk/Country
/reviews/albums/1340-the-cassettes/,Rock
/reviews/albums/155-through-the-90s-singles-and-unreleased/,Rock
/reviews/albums/17631-privilege/,Rock
/reviews/albums/786-splay/,Jazz
/reviews/albums/ana-da-silva-phew-island/,Experimental
/reviews/albums/15586-living-2009-present/,Electronic
/reviews/albums/3102-holiday-diary/,Electronic
/reviews/albums/daniele-luppi-parquet-courts-milano/,Experimental
