review_tombstone_id,label
/reviews/albums/19968-run-the-jewels-run-the-jewels-2/-0,Mass Appeal
/reviews/albums/20149-joey/-0,Swell
/reviews/albums/16857-liquid-swords-chess-box-deluxe-edition/-0,Geffen/Get On Down
/reviews/albums/16793-music-for-the-quiet-hour-the-drawbar-eps/-0,Woe to the Septic Heart
/reviews/albums/16793-music-for-the-quiet-hour-the-drawbar-eps/-1,Woe to the Septic Heart
/reviews/albums/17954-chk-chk-chk-thriller/-0,Warp
/reviews/albums/6692-out-of-the-races-and-onto-the-tracks-ep/-0,Sub Pop
/reviews/albums/3390-return-the-gift/-0,V2
/reviews/albums/lapalux-ruinism/-0,Brainfeeder
/reviews/albums/18483-fort-romeau-stay-true-ep/-0,Ghostly International
/reviews/albums/1337-pocket-symphonies-for-lonesome-subway-cars/-0,Tomlab
/reviews/albums/12292-lost-wisdom/-0,P.W. Elverum & Sun
/reviews/albums/4002-1-2-3/-0,Drag City
/reviews/albums/14597-surfing-the-void/-0,Polydor
/reviews/albums/9570-micah-p-hinson-and-the-opera-circuit/-0,Jade Tree
/reviews/albums/18941-marissa-nadler-july/-0,Sacred Bones
/reviews/albums/rosie-lowe-yu/-0,Caroline International
/reviews/albums/2362-river-walk-riots/-0,Two Ten
/reviews/albums/13993-the-big-to-do/-0,ATO
/reviews/albums/maya-hawke-blush/-0,Mom + Pop
/reviews/albums/14379-go-common-classics/-0,Geffen
/reviews/albums/kipp-stone-faygo-baby-ep/-0,Closed Sessions
/reviews/albums/20337-trap-genius/-0,self-released
/reviews/albums/14950-red-barked-tree/-0,Pinkflag
/reviews/albums/182-worlds-apart/-0,Interscope
/reviews/albums/22054-different-class/-0,Island
/reviews/albums/2917-the-evens/-0,Dischord
/reviews/albums/14884-its-what-im-thinking-part-one-photographing-snowflakes/-0,The End
/reviews/albums/14884-its-what-im-thinking-part-one-photographing-snowflakes/-0,One Last Fruit
/reviews/albums/21108-garden-of-delete/-0,Warp
/reviews/albums/10915-collected-works/-0,Mountain
/reviews/albums/james-mcmurtry-the-horses-and-the-hounds/-0,New West
/reviews/albums/13054-ice-capped-at-both-ends/-0,Warp
/reviews/albums/2189-curling-pond-woods/-0,Carpark
/reviews/albums/19030-hands-the-soul-is-quick/-0,Ecstatic
/reviews/albums/17788-the-strokes-comedown-machine/-0,RCA
/reviews/albums/9715-sing-the-greys/-0,Hits the Fan
/reviews/albums/19683-foxes-in-fiction-ontario-gothic/-0,Orchid Tapes
/reviews/albums/12814-heavy-ghost/-0,Asthmatic Kitty
/reviews/albums/13558-broken/-0,V2
/reviews/albums/13051-wild-and-inside/-0,Siltbreeze
/reviews/albums/19450-sam-smith-in-the-lonely-hour/-0,Capitol
/reviews/albums/16502-europe/-0,Slumberland
/reviews/albums/16502-europe/-0,Fortuna Pop!
/reviews/albums/10512-space-ritual-collectors-edition/-0,United Artists
/reviews/albums/21888-spiritual-songs-for-lovers-to-sing/-0,Mute
/reviews/albums/17472-silent-congas/-0,DFA
/reviews/albums/6968-cmon-lets-pretend/-0,BMG
/reviews/albums/10398-sirens-of-the-ditch/-0,New West
/reviews/albums/9130-fast-man-raider-man/-0,EMI
/reviews/albums/9130-fast-man-raider-man/-0,Back Porch
/reviews/albums/151-triste/-0,Idea
/reviews/albums/22747-helices-ep/-0,Salviatek
/reviews/albums/6614-the-sword-of-god/-0,Touch and Go
/reviews/albums/209-tragic-epilogue/-0,75 Arkz
/reviews/albums/7376-behind-the-music/-0,Interscope
/reviews/albums/7376-behind-the-music/-0,Republic
/reviews/albums/11758-concentration-facehomeboy/-0,5RC
/reviews/albums/9140-blood-sweat-towers/-0,TVT
/reviews/albums/17781-low-the-invisible-way/-0,Sub Pop
/reviews/albums/21344-black-market/-0,Maybach/Warner Bros.
/reviews/albums/18318-honey-ltd-the-complete-lhi-recordings/-0,Light in the Attic
/reviews/albums/sneaks-highway-hypnosis/-0,Merge
/reviews/albums/16820-the-thought-adjusters/-0,Drag City
/reviews/albums/2569-this-is-riphop/-0,Troubleman Unlimited
/reviews/albums/19999-royksopp-the-inevitable-end/-0,Interscope/Cherrytree
/reviews/albums/22088-black-bubblegum/-0,DFA
/reviews/albums/12215-fingerpointing/-0,Drag City
/reviews/albums/20401-cool-it/-0,Easy Sound
/reviews/albums/11492-supreme-balloon/-0,Matador
/reviews/albums/10315-si-para-usted-the-funky-beats-of-revolutionary-cuba-volume-one/-0,Waxing Deep
/reviews/albums/ducks-unlimited-get-bleak-ep/-0,Bobo Integral
/reviews/albums/22174-songs-in-the-key-of-life/-0,Motown
/reviews/albums/23042-the-awakening/-0,Be With
/reviews/albums/5920-city-lights-volume-15/-0,BBE
/reviews/albums/ipek-gorgun-ecce-homo/-0,Touch
/reviews/albums/12824-fabric-45/-0,Fabric
/reviews/albums/9629-robot/-0,Western Vinyl
/reviews/albums/roky-erickson-never-say-goodbye/-0,Emperor Jones
/reviews/albums/10399-at-my-age/-0,Yep Roc
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-0,Fat Possum
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-0,Hi
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-1,Fat Possum
/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/-1,Hi
